name,description,packagelist,default,uservisible
"Directory Client,目录客户端","Clients for integration into a network managed by a directory service.,用于整合到使用目录服务管理的网络的客户端。","{""adcli"": ""default"", ""oddjob-mkhomedir"": ""default"", ""realmd"": ""default"", ""sssd"": ""default"", ""clevis-dracut"": ""optional"", ""clevis-udisks2"": ""optional"", ""krb5-pkinit"": ""optional"", ""krb5-workstation"": ""optional"", ""luksmeta"": ""optional"", ""nss-pam-ldapd"": ""optional"", ""openldap-clients"": ""optional"", ""samba-winbind"": ""optional"", ""samba-winbind-clients"": ""optional"", ""sssd-dbus"": ""optional"", ""sssd-tools"": ""optional"", ""sssd-winbind-idmap"": ""optional""}",false,false
"File and Storage Server,文件及存储服务器","CIFS, SMB, NFS, iSCSI, iSER, and iSNS network storage server.,CIFS, SMB, NFS, iSCSI, iSER 及 iSNS 网络存储服务器。","{""cifs-utils"": ""mandatory"", ""gssproxy"": ""mandatory"", ""nfs-utils"": ""mandatory"", ""nfs4-acl-tools"": ""mandatory"", ""samba"": ""mandatory"", ""open-isns"": ""optional""}",true,false
"openGauss Server,openGauss数据库","openGauss is an open source relational database management system.,openGauss一款开源的关系数据库管理系统。","{""lz4-devel"": ""mandatory"", ""protobuf-devel"": ""mandatory"", ""snappy-devel"": ""mandatory"", ""zstd-devel"": ""mandatory"", ""boost-devel"": ""mandatory"", ""libcgroup-devel"": ""mandatory"", ""unixODBC-devel"": ""mandatory"", ""jemalloc-devel"": ""mandatory"", ""java-1.8.0-openjdk-devel"": ""mandatory"", ""libedit-devel"": ""mandatory"", ""libaio-devel"": ""mandatory"", ""DCF"": ""mandatory"", ""opengauss"": ""mandatory""}",true,false
"Fonts,字体","Fonts packages for rendering text on the desktop.,用于在桌面显示文字的字体软件包。","{""dejavu-sans-fonts"": ""default"", ""dejavu-sans-mono-fonts"": ""default"", ""dejavu-serif-fonts"": ""default"", ""abattis-cantarell-fonts"": ""default"", ""gnu-free-mono-fonts"": ""default"", ""gnu-free-sans-fonts"": ""default"", ""gnu-free-serif-fonts"": ""default"", ""google-noto-sans-cjk-ttc-fonts"": ""default"", ""google-noto-serif-cjk-ttc-fonts"": ""default"", ""jomolhari-fonts"": ""default"", ""julietaula-montserrat-fonts"": ""default"", ""paktype-naskh-basic-fonts"": ""default"", ""paratype-pt-sans-fonts"": ""default"", ""sil-abyssinica-fonts"": ""default"", ""sil-nuosu-fonts"": ""default"", ""sil-padauk-fonts"": ""default"", ""smc-meera-fonts"": ""default"", ""stix-fonts"": ""default"", ""thai-scalable-waree-fonts"": ""default"", ""bpg-algeti-fonts"": ""optional"", ""bpg-chveulebrivi-fonts"": ""optional"", ""bpg-courier-fonts"": ""optional"", ""bpg-courier-s-fonts"": ""optional"", ""bpg-elite-fonts"": ""optional"", ""bpg-excelsior-fonts"": ""optional"", ""bpg-glaho-fonts"": ""optional"", ""bpg-ingiri-fonts"": ""optional"", ""bpg-nino-medium-cond-fonts"": ""optional"", ""bpg-nino-medium-fonts"": ""optional"", ""bpg-sans-fonts"": ""optional"", ""bpg-sans-medium-fonts"": ""optional"", ""bpg-sans-modern-fonts"": ""optional"", ""bpg-sans-regular-fonts"": ""optional"", ""bpg-serif-fonts"": ""optional"", ""bpg-serif-modern-fonts"": ""optional"", ""fontawesome-fonts"": ""optional"", ""google-droid-kufi-fonts"": ""optional"", ""google-droid-sans-fonts"": ""optional"", ""google-droid-sans-mono-fonts"": ""optional"", ""google-droid-serif-fonts"": ""optional"", ""gubbi-fonts"": ""optional"", ""kacst-art-fonts"": ""optional"", ""kacst-book-fonts"": ""optional"", ""kacst-decorative-fonts"": ""optional"", ""kacst-digital-fonts"": ""optional"", ""kacst-farsi-fonts"": ""optional"", ""kacst-letter-fonts"": ""optional"", ""kacst-naskh-fonts"": ""optional"", ""kacst-office-fonts"": ""optional"", ""kacst-one-fonts"": ""optional"", ""kacst-pen-fonts"": ""optional"", ""kacst-poster-fonts"": ""optional"", ""kacst-qurn-fonts"": ""optional"", ""kacst-screen-fonts"": ""optional"", ""kacst-title-fonts"": ""optional"", ""kacst-titlel-fonts"": ""optional"", ""kurdit-unikurd-web-fonts"": ""optional"", ""lato-fonts"": ""optional"", ""madan-fonts"": ""optional"", ""nafees-web-naskh-fonts"": ""optional"", ""navilu-fonts"": ""optional"", ""overpass-fonts"": ""optional"", ""paktype-naqsh-fonts"": ""optional"", ""paktype-tehreer-fonts"": ""optional"", ""saab-fonts"": ""optional"", ""samyak-devanagari-fonts"": ""optional"", ""samyak-gujarati-fonts"": ""optional"", ""samyak-malayalam-fonts"": ""optional"", ""samyak-odia-fonts"": ""optional"", ""samyak-tamil-fonts"": ""optional"", ""sil-scheherazade-fonts"": ""optional"", ""smc-anjalioldlipi-fonts"": ""optional"", ""smc-dyuthi-fonts"": ""optional"", ""smc-kalyani-fonts"": ""optional"", ""smc-rachana-fonts"": ""optional"", ""smc-raghumalayalam-fonts"": ""optional"", ""smc-suruma-fonts"": ""optional"", ""stix-math-fonts"": ""optional"", ""thai-scalable-garuda-fonts"": ""optional"", ""thai-scalable-kinnari-fonts"": ""optional"", ""thai-scalable-loma-fonts"": ""optional"", ""thai-scalable-norasi-fonts"": ""optional"", ""thai-scalable-purisa-fonts"": ""optional"", ""thai-scalable-sawasdee-fonts"": ""optional"", ""thai-scalable-tlwgmono-fonts"": ""optional"", ""thai-scalable-tlwgtypewriter-fonts"": ""optional"", ""thai-scalable-tlwgtypist-fonts"": ""optional"", ""thai-scalable-tlwgtypo-fonts"": ""optional"", ""thai-scalable-umpush-fonts"": ""optional"", ""tibetan-machine-uni-fonts"": ""optional"", ""wqy-microhei-fonts"": ""optional"", ""xorg-x11-fonts-100dpi"": ""optional"", ""xorg-x11-fonts-75dpi"": ""optional"", ""xorg-x11-fonts-ISO8859-1-100dpi"": ""optional"", ""xorg-x11-fonts-ISO8859-1-75dpi"": ""optional"", ""xorg-x11-fonts-ISO8859-14-100dpi"": ""optional"", ""xorg-x11-fonts-ISO8859-14-75dpi"": ""optional"", ""xorg-x11-fonts-ISO8859-15-100dpi"": ""optional"", ""xorg-x11-fonts-ISO8859-15-75dpi"": ""optional"", ""xorg-x11-fonts-ISO8859-2-100dpi"": ""optional"", ""xorg-x11-fonts-ISO8859-2-75dpi"": ""optional"", ""xorg-x11-fonts-ISO8859-9-100dpi"": ""optional"", ""xorg-x11-fonts-ISO8859-9-75dpi"": ""optional"", ""xorg-x11-fonts-Type1"": ""optional"", ""xorg-x11-fonts-cyrillic"": ""optional"", ""xorg-x11-fonts-misc"": ""optional""}",true,false
"FTP Server,FTP 服务器","These tools allow you to run an FTP server on the system.,这些工具允许您在系统上运行 FTP 服务器。","{""vsftpd"": ""mandatory""}",true,false
"GNOME Applications,GNOME 应用程序","A set of commonly used GNOME Applications.,一组经常使用的 GNOME 应用程序。",{},false,false
"GNOME,GNOME","GNOME is a highly intuitive and user friendly desktop environment.,GNOME 是一个非常直观且用户友好的桌面环境。","{""at-spi2-atk"": ""mandatory"", ""at-spi2-core"": ""mandatory"", ""avahi"": ""mandatory"", ""control-center"": ""mandatory"", ""dconf"": ""mandatory"", ""eog"": ""mandatory"", ""evince"": ""mandatory"", ""evince-nautilus"": ""mandatory"", ""file-roller"": ""mandatory"", ""file-roller-nautilus"": ""mandatory"", ""firewall-config"": ""mandatory"", ""fprintd-pam"": ""mandatory"", ""gdm"": ""mandatory"", ""glib-networking"": ""mandatory"", ""gnome-bluetooth"": ""mandatory"", ""gnome-color-manager"": ""mandatory"", ""gnome-dictionary"": ""mandatory"", ""gnome-font-viewer"": ""mandatory"", ""gnome-getting-started-docs"": ""mandatory"", ""gnome-icon-theme"": ""mandatory"", ""gnome-packagekit"": ""mandatory"", ""gnome-packagekit-updater"": ""mandatory"", ""gnome-screenshot"": ""mandatory"", ""gnome-session"": ""mandatory"", ""gnome-session-xsession"": ""mandatory"", ""gnome-settings-daemon"": ""mandatory"", ""gnome-shell"": ""mandatory"", ""gnome-themes-standard"": ""mandatory"", ""gnome-user-docs"": ""mandatory"", ""gvfs-afc"": ""mandatory"", ""gvfs-afp"": ""mandatory"", ""gvfs-archive"": ""mandatory"", ""gvfs-fuse3"": ""mandatory"", ""gvfs-goa"": ""mandatory"", ""gvfs-gphoto2"": ""mandatory"", ""gvfs-mtp"": ""mandatory"", ""gvfs-smb"": ""mandatory"", ""initial-setup-gui"": ""mandatory"", ""libcanberra-gtk2"": ""mandatory"", ""libcanberra-gtk3"": ""mandatory"", ""librsvg2"": ""mandatory"", ""metacity"": ""mandatory"", ""nautilus"": ""mandatory"", ""nm-connection-editor"": ""mandatory"", ""PackageKit-command-not-found"": ""mandatory"", ""PackageKit-gtk3-module"": ""mandatory"", ""sane-backends-drivers-scanners"": ""mandatory"", ""vinagre"": ""mandatory"", ""vino"": ""mandatory"", ""xdg-user-dirs-gtk"": ""mandatory"", ""yelp"": ""mandatory"", ""vim-X11"": ""optional""}",false,false
"Guest Desktop Agents,虚拟机桌面代理","Agents used when running as a virtualized desktop.,作为虚拟桌面运行时使用的代理。","{""qemu-guest-agent"": ""mandatory"", ""spice-vdagent"": ""mandatory""}",true,false
"Hardware Monitoring Utilities,硬件监控工具","A set of tools to monitor server hardware.,一组用来监控服务器硬件的工具。","{""rasdaemon"": ""default"", ""smartmontools"": ""default"", ""lm_sensors"": ""optional""}",true,false
"Hardware Support,","This group is a collection of tools for various hardware specific utilities.,","{""bolt"": ""default"", ""usb_modeswitch"": ""default"", ""linux-firmware"": ""default"", ""lsscsi"": ""optional"", ""opensc"": ""optional"", ""openssl-pkcs11"": ""optional"", ""pcsc-lite"": ""optional"", ""pcsc-lite-ccid"": ""optional""}",true,false
