name,description,packagelist,default,uservisible
"Mail Server,邮件服务器","These packages allow you to configure an IMAP or SMTP mail server.,这些软件包允许您配置 IMAP 或 Postfix 邮件服务器。","{""postfix"": ""default""}",true,false
"MariaDB (MySQL) Database,MariaDB (MySQL) 数据库","This package group contains packages useful for use with MariaDB (MySQL).,该包组包含供 MariaDB (MySQL) 使用的相关软件包。","{""mariadb"": ""mandatory"", ""mariadb-server"": ""default"", ""perl-DBD-MySQL"": ""default"", ""python3-PyMySQL"": ""default"", ""unixODBC"": ""default"", ""mariadb-devel"": ""optional"", ""mariadb-server-utils"": ""optional"", ""php-mysqlnd"": ""optional""}",true,true
"Network File System Client,网络文件系统客户端","Enables the system to attach to network storage.,启用该系统附加到网络存储。","{""cachefilesd"": ""optional""}",true,false
"Network Servers,网络服务器","These packages include network-based servers such as DHCP, Kerberos and NIS.,这些软件包包括基于网络的服务器，例如 DHCP、Kerberos 和 NIS。","{""syslinux"": ""optional""}",true,true
"Networking Tools,联网工具","Tools for configuring and analyzing computer networks.,配置和分析计算机网络的工具。","{""stunnel"": ""optional""}",true,false
"Performance Tools,性能工具","Tools for diagnosing system and application-level performance problems.,诊断系统和程序级别性能问题的工具。","{""tuned-profiles-cpu-partitioning"": ""optional""}",true,false
"Platform Development,平台开发","Recommended development headers and libraries for developing applications to run on OpenCloudOS.,","{""atk-devel"": ""mandatory"", ""cairo-devel"": ""mandatory"", ""dbus-devel"": ""mandatory"", ""desktop-file-utils"": ""mandatory"", ""fontconfig-devel"": ""mandatory"", ""freetype-devel"": ""mandatory"", ""glib2-devel"": ""mandatory"", ""glibc-devel"": ""mandatory"", ""gtk3-devel"": ""mandatory"", ""krb5-devel"": ""mandatory"", ""libICE-devel"": ""mandatory"", ""libSM-devel"": ""mandatory"", ""libX11-devel"": ""mandatory"", ""libXScrnSaver-devel"": ""mandatory"", ""libXext-devel"": ""mandatory"", ""libXft-devel"": ""mandatory"", ""libXi-devel"": ""mandatory"", ""libXrender-devel"": ""mandatory"", ""libXt-devel"": ""mandatory"", ""libXtst-devel"": ""mandatory"", ""libXv-devel"": ""mandatory"", ""libXxf86dga-devel"": ""mandatory"", ""libdb-devel"": ""mandatory"", ""libjpeg-turbo-devel"": ""mandatory"", ""libpng-devel"": ""mandatory"", ""libstdc++-devel"": ""mandatory"", ""libxml2-devel"": ""mandatory"", ""libxshmfence-devel"": ""mandatory"", ""mesa-libGL-devel"": ""mandatory"", ""mesa-libGLU-devel"": ""mandatory"", ""ncurses-devel"": ""mandatory"", ""nss-devel"": ""mandatory"", ""openldap-devel"": ""mandatory"", ""openssl-devel"": ""mandatory"", ""pam-devel"": ""mandatory"", ""pango-devel"": ""mandatory"", ""qt5-qt3d-devel"": ""mandatory"", ""qt5-qtbase-mysql"": ""mandatory"", ""qt5-qtbase-odbc"": ""mandatory"", ""qt5-qtbase-postgresql"": ""mandatory"", ""qt5-qtconnectivity-devel"": ""mandatory"", ""qt5-qtgraphicaleffects"": ""mandatory"", ""qt5-qtimageformats"": ""mandatory"", ""qt5-qtlocation-devel"": ""mandatory"", ""qt5-qtmultimedia-devel"": ""mandatory"", ""qt5-qtquickcontrols"": ""mandatory"", ""qt5-qtquickcontrols2"": ""mandatory"", ""qt5-qtscript-devel"": ""mandatory"", ""qt5-qtsensors-devel"": ""mandatory"", ""qt5-qtserialbus"": ""mandatory"", ""qt5-qtserialport-devel"": ""mandatory"", ""qt5-qtsvg-devel"": ""mandatory"", ""qt5-qttools-devel"": ""mandatory"", ""qt5-qttranslations"": ""mandatory"", ""qt5-qtwayland"": ""mandatory"", ""qt5-qtwebchannel-devel"": ""mandatory"", ""qt5-qtwebsockets-devel"": ""mandatory"", ""qt5-qtx11extras-devel"": ""mandatory"", ""qt5-qtxmlpatterns-devel"": ""mandatory"", ""zlib-devel"": ""mandatory"", ""spirv-tools"": ""optional"", ""spirv-tools-libs"": ""optional"", ""vulkan-tools"": ""optional"", ""vulkan-validation-layers"": ""optional""}",true,false
"Remote Desktop Clients,远程桌面客户端","Clients for connecting to remote desktop services,用于连接远程桌面服务的客户端。","{""freerdp"": ""optional"", ""tigervnc"": ""optional""}",true,false
"Scientific Support,科学记数法支持","Tools for mathematical and scientific computations, and parallel computing.,用于数学和科学计算以及平行计算的工具。","{""units"": ""optional""}",true,true
"Security Tools,安全性工具","Security tools for integrity and trust verification.,用于完整性和可信验证的安全性工具。","{""tss2"": ""optional""}",true,true
