name,description,packagelist,default,uservisible
"Standard,标准","Common set of utilities that extend the minimal installation.,扩展了最小化安装的常见实用工具集。","{""abrt-cli"": ""mandatory"", ""acl"": ""mandatory"", ""amd-ucode-firmware"": ""mandatory"", ""at"": ""mandatory"", ""attr"": ""mandatory"", ""bash-color-prompt"": ""mandatory"", ""bash-completion"": ""mandatory"", ""bc"": ""mandatory"", ""bind-utils"": ""mandatory"", ""btrfs-progs"": ""mandatory"", ""bzip2"": ""mandatory"", ""cifs-utils"": ""mandatory"", ""compsize"": ""mandatory"", ""cpio"": ""mandatory"", ""crontabs"": ""mandatory"", ""cryptsetup"": ""mandatory"", ""cyrus-sasl-plain"": ""mandatory"", ""dbus"": ""mandatory"", ""default-editor"": ""mandatory"", ""deltarpm"": ""mandatory"", ""dos2unix"": ""mandatory"", ""dosfstools"": ""mandatory"", ""ed"": ""mandatory"", ""ethtool"": ""mandatory"", ""exfatprogs"": ""mandatory"", ""file"": ""mandatory"", ""fpaste"": ""mandatory"", ""fprintd-pam"": ""mandatory"", ""gnupg2"": ""mandatory"", ""hunspell"": ""mandatory"", ""iptstate"": ""mandatory"", ""irqbalance"": ""mandatory"", ""logrotate"": ""mandatory"", ""lsof"": ""mandatory"", ""mailcap"": ""mandatory"", ""man-pages"": ""mandatory"", ""mcelog"": ""mandatory"", ""mdadm"": ""mandatory"", ""microcode_ctl"": ""mandatory"", ""mtr"": ""mandatory"", ""net-tools"": ""mandatory"", ""nfs-utils"": ""mandatory"", ""nmap-ncat"": ""mandatory"", ""ntfs-3g"": ""mandatory"", ""ntfsprogs"": ""mandatory"", ""opensc"": ""mandatory"", ""passwdqc"": ""mandatory"", ""pciutils"": ""mandatory"", ""pinfo"": ""mandatory"", ""plocate"": ""mandatory"", ""psacct"": ""mandatory"", ""quota"": ""mandatory"", ""realmd"": ""mandatory"", ""rsync"": ""mandatory"", ""rsyslog"": ""mandatory"", ""smartmontools"": ""mandatory"", ""sos"": ""mandatory"", ""sssd-proxy"": ""mandatory"", ""sudo"": ""mandatory"", ""symlinks"": ""mandatory"", ""systemd-udev"": ""mandatory"", ""tar"": ""mandatory"", ""tcpdump"": ""mandatory"", ""time"": ""mandatory"", ""traceroute"": ""mandatory"", ""tree"": ""mandatory"", ""unzip"": ""mandatory"", ""usbutils"": ""mandatory"", ""wget2-wget"": ""mandatory"", ""which"": ""mandatory"", ""whois"": ""mandatory"", ""words"": ""mandatory"", ""zip"": ""mandatory"", ""chrony"": ""conditional""}",true,false
"3D Printing,3D 打印","3D printing software,3D 打印软件","{""admesh"": ""default"", ""blender"": ""default"", ""cura"": ""default"", ""meshlab"": ""default"", ""openscad"": ""default"", ""openscad-MCAD"": ""default"", ""printrun"": ""default"", ""prusa-slicer"": ""default"", ""slic3r"": ""default""}",false,true
"Administration Tools,管理工具","This group is a collection of graphical administration tools for the system, such as for managing user accounts and configuring system hardware.,这组是系统图形管理工具合集，比如用于管理用户帐户和配置系统硬件的工具。","{""abrt-desktop"": ""mandatory"", ""gnome-disk-utility"": ""mandatory"", ""setroubleshoot"": ""mandatory"", ""system-config-language"": ""mandatory""}",false,true
"Audio Production,音频制作","Various tools for audio synthesis and music production.,用于音频合成和音乐制作的众多工具。","{""Add64"": ""default"", ""Carla"": ""default"", ""a2jmidid"": ""default"", ""alsa-firmware"": ""default"", ""alsa-plugins-samplerate"": ""default"", ""alsa-plugins-upmix"": ""default"", ""alsa-plugins-usbstream"": ""default"", ""alsa-plugins-vdownmix"": ""default"", ""alsa-tools"": ""default"", ""alsa-utils"": ""default"", ""alsamixergui"": ""default"", ""ams"": ""default"", ""ardour8"": ""default"", ""arpage"": ""default"", ""audacity"": ""default"", ""calf"": ""default"", ""drumkv1"": ""default"", ""dssi"": ""default"", ""ffado"": ""default"", ""fluid-soundfont-gm"": ""default"", ""fluidsynth"": ""default"", ""frescobaldi"": ""default"", ""guitarix"": ""default"", ""harmonyseq"": ""default"", ""hydrogen"": ""default"", ""jaaa"": ""default"", ""jack-mixer"": ""default"", ""jack_capture"": ""default"", ""japa"": ""default"", ""jmeters"": ""default"", ""kernel-tools"": ""default"", ""ladspa"": ""default"", ""ladspa-amb-plugins"": ""default"", ""ladspa-autotalent-plugins"": ""default"", ""ladspa-blop-plugins"": ""default"", ""ladspa-cmt-plugins"": ""default"", ""ladspa-fil-plugins"": ""default"", ""ladspa-mcp-plugins"": ""default"", ""ladspa-rev-plugins"": ""default"", ""ladspa-tap-plugins"": ""default"", ""ladspa-vco-plugins"": ""default"", ""lash"": ""default"", ""lilypond"": ""default"", ""lsp-plugins-jack"": ""default"", ""lsp-plugins-ladspa"": ""default"", ""lsp-plugins-lv2"": ""default"", ""lv2"": ""default"", ""lv2-abGate"": ""default"", ""lv2-c++-tools"": ""default"", ""lv2-carla"": ""default"", ""lv2-drumkv1"": ""default"", ""lv2-fabla"": ""default"", ""lv2-ll-plugins"": ""default"", ""lv2-newtonator"": ""default"", ""lv2-samplv1"": ""default"", ""lv2-sorcer"": ""default"", ""lv2-swh-plugins"": ""default"", ""lv2-synthv1"": ""default"", ""lv2-vocoder-plugins"": ""default"", ""lv2-x42-plugins"": ""default"", ""lv2-zynadd-plugins"": ""default"", ""lv2dynparam"": ""default"", ""mudita24"": ""default"", ""multimedia-menus"": ""default"", ""mup"": ""default"", ""muse"": ""default"", ""musescore"": ""default"", ""new-session-manager"": ""default"", ""pavucontrol"": ""default"", ""pipewire-alsa"": ""default"", ""pipewire-jack-audio-connection-kit"": ""default"", ""pipewire-pulseaudio"": ""default"", ""pipewire-utils"": ""default"", ""qastools"": ""default"", ""qjackctl"": ""default"", ""qmidiarp"": ""default"", ""qsynth"": ""default"", ""qtractor"": ""default"", ""rakarrack"": ""default"", ""raysession"": ""default"", ""rosegarden4"": ""default"", ""samplv1"": ""default"", ""sbc"": ""default"", ""sooperlooper"": ""default"", ""synthv1"": ""default"", ""timidity++"": ""default"", ""tuxguitar"": ""default"", ""vmpk"": ""default"", ""wireplumber"": ""default"", ""yoshimi"": ""default"", ""zita-at1"": ""default"", ""zita-rev1"": ""default"", ""zynaddsubfx"": ""default""}",false,true
"Authoring and Publishing,写作和出版","These tools allow you to create documents in the DocBook format and convert them into HTML, PDF, Postscript, and text.,这些工具允许您生成 DocBook 格式文档并将其转成 HTML、PDF、Postscript 和纯文本。","{""docbook-slides"": ""default"", ""docbook-style-dsssl"": ""default"", ""docbook-style-xsl"": ""default"", ""docbook-utils"": ""default"", ""docbook-utils-pdf"": ""default"", ""docbook5-schemas"": ""default"", ""docbook5-style-xsl"": ""default"", ""linuxdoc-tools"": ""default"", ""texlive"": ""default"", ""texlive-cm-lgc"": ""default"", ""texlive-kerkis"": ""default"", ""xhtml1-dtds"": ""default"", ""xmlto"": ""default"", ""BibTool"": ""optional"", ""abcm2ps"": ""optional"", ""dblatex"": ""optional"", ""docbook2X"": ""optional"", ""html401-dtds"": ""optional"", ""kbibtex"": ""optional"", ""kile"": ""optional"", ""latexmk"": ""optional"", ""lilypond"": ""optional"", ""lout"": ""optional"", ""ooo2txt"": ""optional"", ""pandoc"": ""optional"", ""python3-docutils"": ""optional"", ""python3-manuel"": ""optional"", ""scribus"": ""optional"", ""texlive-latex"": ""optional"", ""texlive-xdvi"": ""optional"", ""txt2rss"": ""optional"", ""w3c-markup-validator"": ""optional"", ""xmlcopyeditor"": ""optional""}",false,true
"base-graphical,","Common packages for any graphical session,","{""mesa-dri-drivers"": ""mandatory"", ""mesa-vulkan-drivers"": ""mandatory"", ""plymouth-system-theme"": ""mandatory""}",false,false
"base-x,base-x","Local X.org display server,本地 X.org 显示服务器","{""glx-utils"": ""mandatory"", ""mesa-dri-drivers"": ""mandatory"", ""mesa-vulkan-drivers"": ""mandatory"", ""plymouth-system-theme"": ""mandatory"", ""xorg-x11-drv-amdgpu"": ""mandatory"", ""xorg-x11-drv-ati"": ""mandatory"", ""xorg-x11-drv-evdev"": ""mandatory"", ""xorg-x11-drv-fbdev"": ""mandatory"", ""xorg-x11-drv-intel"": ""mandatory"", ""xorg-x11-drv-libinput"": ""mandatory"", ""xorg-x11-drv-nouveau"": ""mandatory"", ""xorg-x11-drv-openchrome"": ""mandatory"", ""xorg-x11-drv-qxl"": ""mandatory"", ""xorg-x11-drv-vesa"": ""mandatory"", ""xorg-x11-drv-vmware"": ""mandatory"", ""xorg-x11-drv-wacom"": ""mandatory"", ""xorg-x11-server-Xorg"": ""mandatory"", ""xorg-x11-xauth"": ""mandatory"", ""xorg-x11-xinit"": ""mandatory""}",false,false
"Basic Desktop,基本桌面环境","Basic X Window System with a choice of window manager.,基本 X 窗口系统的窗口管理器的选择。","{""adwaita-gtk2-theme"": ""mandatory"", ""adwaita-icon-theme"": ""mandatory"", ""awesome"": ""mandatory"", ""i3"": ""mandatory"", ""initial-setup-gui"": ""mandatory"", ""lightdm-gtk"": ""mandatory"", ""metacity"": ""mandatory"", ""openbox"": ""mandatory"", ""ratpoison"": ""mandatory"", ""xmonad-basic"": ""mandatory""}",false,false
"Budgie,","Budgie Desktop is a feature-rich, modern desktop environment.,","{""budgie-backgrounds"": ""mandatory"", ""budgie-control-center"": ""mandatory"", ""budgie-desktop"": ""mandatory"", ""budgie-desktop-defaults"": ""mandatory"", ""budgie-desktop-view"": ""mandatory"", ""budgie-screensaver"": ""mandatory"", ""dconf"": ""mandatory"", ""gnome-settings-daemon"": ""mandatory"", ""gnome-software"": ""mandatory"", ""lightdm"": ""mandatory"", ""network-manager-applet"": ""mandatory"", ""polkit"": ""mandatory"", ""slick-greeter"": ""mandatory"", ""ModemManager"": ""default"", ""NetworkManager-adsl"": ""default"", ""NetworkManager-openconnect-gnome"": ""default"", ""NetworkManager-openvpn-gnome"": ""default"", ""NetworkManager-ppp"": ""default"", ""NetworkManager-pptp-gnome"": ""default"", ""NetworkManager-ssh-gnome"": ""default"", ""NetworkManager-vpnc-gnome"": ""default"", ""NetworkManager-wwan"": ""default"", ""fprintd-pam"": ""default"", ""glib-networking"": ""default"", ""gnome-bluetooth"": ""default"", ""gnome-color-manager"": ""default"", ""gnome-disk-utility"": ""default"", ""gnome-keyring-pam"": ""default"", ""gvfs-afc"": ""default"", ""gvfs-afp"": ""default"", ""gvfs-archive"": ""default"", ""gvfs-fuse"": ""default"", ""gvfs-goa"": ""default"", ""gvfs-gphoto2"": ""default"", ""gvfs-mtp"": ""default"", ""gvfs-smb"": ""default"", ""xdg-desktop-portal"": ""default"", ""xdg-desktop-portal-gtk"": ""default"", ""xdg-user-dirs-gtk"": ""default""}",false,true
"Budgie Desktop Applications,","Recommended applications to use with Budgie Desktop,","{""atril"": ""default"", ""eom"": ""default"", ""firefox"": ""default"", ""gedit"": ""default"", ""gnome-calculator"": ""default"", ""gnome-disk-utility"": ""default"", ""gnome-system-monitor"": ""default"", ""gnome-terminal"": ""default"", ""nemo"": ""default"", ""nemo-fileroller"": ""default"", ""nemo-seahorse"": ""default"", ""parole"": ""default"", ""rhythmbox"": ""default"", ""seahorse"": ""default""}",false,true
