name,description,packagelist,default,uservisible
"Critical Path (Base),关键路径（基本）","A set of packages that provide the shared platform for Critical Path functionality on all Fedora spins,一组为所有 Fedora 定制版的关键路径功能提供共享平台的软件包","{""NetworkManager"": ""mandatory"", ""dbus-broker"": ""mandatory"", ""dracut"": ""mandatory"", ""initial-setup"": ""mandatory"", ""kernel"": ""mandatory""}",false,false
"Critical Path (Build),","A set of packages that provide the Critical Path functionality for building Fedora packages,","{""gcc-c++"": ""mandatory"", ""mock"": ""mandatory"", ""mock-core-configs"": ""mandatory"", ""redhat-rpm-config"": ""mandatory"", ""rpm-build"": ""mandatory""}",false,false
"Critical Path (Compose),","A set of packages that provide the Critical Path functionality for building Fedora deliverables,","{""setup"": ""mandatory""}",false,false
"Critical Path (Deepin desktop),关键路径（Deepin桌面）","A set of packages that provide the Critical Path functionality for the Deepin desktop,一组为 Deepin 桌面提供关键路径功能的软件包","{""deepin-desktop"": ""mandatory""}",false,false
"Critical Path (GNOME),关键路径（GNOME）","A set of packages that provide the Critical Path functionality for the GNOME desktop,一组为 GNOME 桌面提供关键路径功能的软件包","{""bash-color-prompt"": ""mandatory"", ""dconf"": ""mandatory"", ""gdm"": ""mandatory"", ""gnome-classic-session"": ""mandatory"", ""gnome-control-center"": ""mandatory"", ""gnome-initial-setup"": ""mandatory"", ""gnome-shell"": ""mandatory"", ""gnome-terminal"": ""mandatory"", ""gvfs-fuse"": ""mandatory"", ""xorg-x11-drv-amdgpu"": ""mandatory"", ""xorg-x11-drv-ati"": ""mandatory"", ""xorg-x11-drv-evdev"": ""mandatory"", ""xorg-x11-drv-fbdev"": ""mandatory"", ""xorg-x11-drv-intel"": ""mandatory"", ""xorg-x11-drv-libinput"": ""mandatory"", ""xorg-x11-drv-nouveau"": ""mandatory"", ""xorg-x11-drv-qxl"": ""mandatory"", ""xorg-x11-drv-vesa"": ""mandatory"", ""xorg-x11-server-Xorg"": ""mandatory"", ""xorg-x11-xauth"": ""mandatory"", ""xorg-x11-xinit"": ""mandatory"", ""avahi"": ""default"", ""gnome-bluetooth"": ""default"", ""gnome-session-xsession"": ""default"", ""gnome-software"": ""default"", ""nautilus"": ""default"", ""toolbox"": ""default""}",false,false
"Critical Path (KDE),关键路径（KDE）","A set of packages that provide the Critical Path functionality for the KDE desktop,一组为 KDE 桌面提供关键路径功能的软件包","{""bluedevil"": ""mandatory"", ""kactivitymanagerd"": ""mandatory"", ""kdecoration"": ""mandatory"", ""kinfocenter"": ""mandatory"", ""kscreen"": ""mandatory"", ""kscreenlocker"": ""mandatory"", ""kwayland-integration"": ""mandatory"", ""kwin"": ""mandatory"", ""layer-shell-qt"": ""mandatory"", ""plasma-breeze"": ""mandatory"", ""plasma-desktop"": ""mandatory"", ""plasma-discover"": ""mandatory"", ""plasma-integration"": ""mandatory"", ""plasma-nm"": ""mandatory"", ""plasma-systemsettings"": ""mandatory"", ""plasma-thunderbolt"": ""mandatory"", ""plasma-workspace"": ""mandatory"", ""polkit-kde"": ""mandatory"", ""qt6-qtwayland"": ""mandatory"", ""sddm"": ""mandatory""}",false,false
"Critical Path (LXDE),关键路径（LXDE）","A set of packages that provide the Critical Path functionality for the LXDE desktop,一组为 LXDE 桌面提供关键路径功能的软件包","{""lxde-common"": ""mandatory"", ""notification-daemon"": ""default""}",false,false
"Critical Path (LXQt),关键路径（LXQt）","A set of packages that provide the Critical Path functionality for the LXQt desktop,一组为 LXQt 桌面提供关键路径功能的软件包","{""lxqt-session"": ""mandatory"", ""notification-daemon"": ""default""}",false,false
"Critical Path (Server),","A set of packages that provide the Critical Path functionality for the Server edition,","{""bind-dyndb-ldap"": ""mandatory"", ""cockpit"": ""mandatory"", ""freeipa-server"": ""mandatory"", ""freeipa-server-dns"": ""mandatory"", ""freeipa-server-trust-ad"": ""mandatory"", ""opendnssec"": ""mandatory"", ""postgresql"": ""mandatory"", ""realmd"": ""mandatory""}",false,false
"Critical Path (standard),","A set of packages that relate to Critical Path functionality and are in standard but not base,","{""bash-color-prompt"": ""mandatory"", ""fprintd-pam"": ""mandatory""}",false,false
"Critical Path (Xfce),关键路径（Xfce）","A set of packages that provide the Critical Path functionality for the Xfce desktop,一组为 Xfce 桌面提供关键路径功能的软件包","{""xfce4-session"": ""mandatory"", ""xfce4-settings"": ""mandatory""}",false,false
"D Development Tools and Libraries,D 语言开发工具和库","These include development tools and libraries such as ldc, and geany-tag.,这些包括开发工具和库，如 ldc 和 geany-tag。","{""ldc"": ""mandatory"", ""make"": ""mandatory"", ""pkgconf"": ""mandatory"", ""ctags"": ""default"", ""indent"": ""default"", ""astyle"": ""optional"", ""cmake"": ""optional"", ""geany"": ""optional"", ""insight"": ""optional"", ""nemiver"": ""optional"", ""uncrustify"": ""optional""}",false,true
"Deepin Desktop Environment,Deepin桌面环境","Deepin Desktop is a desktop environment aims at being elegant and easy to use.,Deepin Desktop 是一种桌面环境，旨在优雅、易用。","{""chromium"": ""default"", ""deepin-calculator"": ""default"", ""deepin-calendar"": ""default"", ""deepin-desktop"": ""default"", ""deepin-editor"": ""default"", ""deepin-file-manager"": ""default"", ""deepin-icon-theme"": ""default"", ""deepin-image-viewer"": ""default"", ""deepin-picker"": ""default"", ""deepin-screenshot"": ""default"", ""deepin-system-monitor"": ""default"", ""dnfdragora-updater"": ""default"", ""firewall-config"": ""default""}",false,false
"Deepin Desktop Applications,Deepin桌面应用程序","Deepin Desktop Applications,Deepin桌面应用程序","{""deepin-draw"": ""optional"", ""transmission-qt"": ""optional""}",false,false
"Media packages for Deepin Desktop,用于Deepin桌面的多媒体软件包","Media packages for Deepin Desktop,用于Deepin桌面的多媒体软件包","{""pavucontrol-qt"": ""default""}",false,false
"Deepin Desktop Office,Deepin桌面Office","Office suite for Deepin Desktop,Deepin 办公套件","{""libreoffice-calc"": ""default"", ""libreoffice-impress"": ""default"", ""libreoffice-writer"": ""default""}",false,false
"Design Suite,设计套件","These packages are targeted towards professional designers, and are related to graphics, web and animation.,这些软件包面向与图形、网页及动画相关的专业设计人员。","{""GraphicsMagick"": ""default"", ""aajohan-comfortaa-fonts"": ""default"", ""adobe-source-sans-pro-fonts"": ""default"", ""astigmatic-grand-hotel-fonts"": ""default"", ""audacity"": ""default"", ""blender"": ""default"", ""campivisivi-titillium-fonts"": ""default"", ""colord-extra-profiles"": ""default"", ""darktable"": ""default"", ""dia"": ""default"", ""entangle"": ""default"", ""fontforge"": ""default"", ""gcolor3"": ""default"", ""gimp"": ""default"", ""google-roboto-condensed-fonts"": ""default"", ""google-roboto-fonts"": ""default"", ""google-roboto-slab-fonts"": ""default"", ""hugin"": ""default"", ""inkscape"": ""default"", ""julietaula-montserrat-fonts"": ""default"", ""krita"": ""default"", ""lato-fonts"": ""default"", ""open-sans-fonts"": ""default"", ""optipng"": ""default"", ""overpass-fonts"": ""default"", ""pdfarranger"": ""default"", ""pitivi"": ""default"", ""redhat-display-fonts"": ""default"", ""redhat-text-fonts"": ""default"", ""scribus"": ""default"", ""shotwell"": ""default"", ""sparkleshare"": ""default"", ""synfigstudio"": ""default"", ""typetype-molot-fonts"": ""default"", ""xournalpp"": ""default"", ""ImageMagick"": ""optional"", ""YafaRay"": ""optional"", ""calligra-karbon"": ""optional"", ""geeqie"": ""optional"", ""luxcorerender"": ""optional"", ""mypaint"": ""optional"", ""pngcrush"": ""optional"", ""rapid-photo-downloader"": ""optional"", ""shutter"": ""optional"", ""YafaRay-blender"": ""conditional"", ""blender-luxcorerender"": ""conditional"", ""darktable-tools-noise"": ""conditional"", ""gimp-data-extras"": ""conditional"", ""gimp-dds-plugin"": ""conditional"", ""gimp-elsamuko"": ""conditional"", ""gimp-fourier-plugin"": ""conditional"", ""gimp-help"": ""conditional"", ""gimp-high-pass-filter"": ""conditional"", ""gimp-layer-via-copy-cut"": ""conditional"", ""gimp-lensfun"": ""conditional"", ""gimp-lqr-plugin"": ""conditional"", ""gimp-paint-studio"": ""conditional"", ""gimp-resynthesizer"": ""conditional"", ""gimp-save-for-web"": ""conditional"", ""gimp-wavelet-denoise-plugin"": ""conditional"", ""gimpfx-foundry"": ""conditional"", ""gmic-gimp"": ""conditional"", ""inkscape-psd"": ""conditional"", ""sane-backends-drivers-scanners"": ""conditional"", ""scribus-generator"": ""conditional"", ""xsane-gimp"": ""conditional""}",false,true
"Desktop accessibility,","This group contains essential accessibility stack to be used with desktop environments.,","{""speech-dispatcher"": ""default""}",false,true
"Development Libraries,开发程序库","The packages in this group are core libraries needed to develop applications.,这组中的软件包是开发应用程序所需要的核心程序库。","{""bzip2-devel"": ""mandatory"", ""glibc-devel"": ""mandatory"", ""ncurses-devel"": ""mandatory"", ""pam-devel"": ""mandatory"", ""readline-devel"": ""mandatory"", ""zlib-ng-devel"": ""mandatory"", ""binutils-devel"": ""default"", ""boost-devel"": ""default"", ""cyrus-sasl-devel"": ""default"", ""dbus-devel"": ""default"", ""gmp-devel"": ""default"", ""krb5-devel"": ""default"", ""libacl-devel"": ""default"", ""libattr-devel"": ""default"", ""libcap-devel"": ""default"", ""libcurl-devel"": ""default"", ""libdb-devel"": ""default"", ""libogg-devel"": ""default"", ""libselinux-devel"": ""default"", ""libuser-devel"": ""default"", ""libvorbis-devel"": ""default"", ""libxml2-devel"": ""default"", ""lockdev-devel"": ""default"", ""openldap-devel"": ""default"", ""openssl-devel"": ""default"", ""pciutils-devel"": ""default"", ""pcsc-lite-devel"": ""default"", ""perl-devel"": ""default"", ""python3-devel"": ""default"", ""rpm-devel"": ""default"", ""slang-devel"": ""default"", ""DSDP-devel"": ""optional"", ""check-devel"": ""optional"", ""expat-devel"": ""optional"", ""ffcall"": ""optional"", ""gdbm-devel"": ""optional"", ""geoclue2-devel"": ""optional"", ""gf2x-devel"": ""optional"", ""givaro-devel"": ""optional"", ""gmp-ecm-devel"": ""optional"", ""gpm-devel"": ""optional"", ""gssdp-devel"": ""optional"", ""gupnp-devel"": ""optional"", ""iml-devel"": ""optional"", ""libdwarf-devel"": ""optional"", ""libedit-devel"": ""optional"", ""libusb1-devel"": ""optional"", ""linbox-devel"": ""optional"", ""m4ri-devel"": ""optional"", ""m4rie-devel"": ""optional"", ""newt-devel"": ""optional"", ""poco-devel"": ""optional"", ""poco-doc"": ""optional""}",false,false
"Development Tools,开发工具","These tools include general development tools such as git and CVS.,这些工具包括通用开发工具，如 git 和 CVS。","{""gettext"": ""mandatory"", ""diffstat"": ""default"", ""doxygen"": ""default"", ""git"": ""default"", ""patch"": ""default"", ""patchutils"": ""default"", ""subversion"": ""default"", ""systemtap"": ""default"", ""buildbot"": ""optional"", ""colordiff"": ""optional"", ""cvs"": ""optional"", ""cvs2cl"": ""optional"", ""cvsps"": ""optional"", ""darcs"": ""optional"", ""dejagnu"": ""optional"", ""expect"": ""optional"", ""gambas3-ide"": ""optional"", ""git-annex"": ""optional"", ""git-cola"": ""optional"", ""git2cl"": ""optional"", ""gitg"": ""optional"", ""gtranslator"": ""optional"", ""highlight"": ""optional"", ""lcov"": ""optional"", ""manedit"": ""optional"", ""meld"": ""optional"", ""monotone"": ""optional"", ""myrepos"": ""optional"", ""nemiver"": ""optional"", ""qgit"": ""optional"", ""quilt"": ""optional"", ""rapidsvn"": ""optional"", ""rcs"": ""optional"", ""robodoc"": ""optional"", ""scanmem"": ""optional"", ""subunit"": ""optional"", ""svn2cl"": ""optional"", ""tig"": ""optional"", ""tortoisehg"": ""optional"", ""translate-toolkit"": ""optional"", ""utrac"": ""optional""}",false,true
"Dial-up Networking Support,拨号联网支持",",","{""ppp"": ""mandatory"", ""ModemManager"": ""default"", ""NetworkManager-adsl"": ""default"", ""NetworkManager-ppp"": ""default"", ""NetworkManager-wwan"": ""default"", ""lrzsz"": ""default"", ""minicom"": ""default"", ""efax"": ""optional"", ""linux-atm"": ""optional"", ""pptp"": ""optional"", ""rp-pppoe"": ""optional"", ""statserial"": ""optional"", ""wvdial"": ""optional""}",false,false
"Directory Server,目录服务器","Machine and user identity servers.,机器和用户身份服务器。","{""389-ds-base"": ""optional"", ""krb5-server"": ""optional"", ""migrationtools"": ""optional"", ""openldap-servers"": ""optional"", ""samba"": ""optional"", ""ypserv"": ""optional""}",false,false
"DNS Name Server,DNS 域名服务器","This package group allows you to run a DNS name server (BIND) on the system.,这个软件包组允许您在系统上运行 DNS 域名服务器 (BIND)。","{""bind-chroot"": ""default"", ""bind"": ""optional"", ""dnsperf"": ""optional"", ""ldns"": ""optional"", ""nsd"": ""optional"", ""pdns"": ""optional"", ""pdns-recursor"": ""optional"", ""rbldnsd"": ""optional"", ""unbound"": ""optional""}",false,false
"Dogtag Certificate System,Dogtag 证书系统","Enterprise-class open source Certificate Authority,企业级开源证书授权中心","{""dogtag-pki-ca"": ""mandatory"", ""dogtag-pki-acme"": ""default"", ""dogtag-pki-kra"": ""default"", ""dogtag-pki-ocsp"": ""default"", ""dogtag-pki-javadoc"": ""optional"", ""dogtag-pki-tks"": ""optional"", ""dogtag-pki-tps"": ""optional""}",false,false
"Editors,编辑器","Sometimes called text editors, these are programs that allow you to create and edit text files. This includes Emacs and Vi.,有时被称为文本编辑器，是允许您创建和编辑文本文件的程序，包括 Emacs 和 Vi。","{""emacs"": ""optional"", ""emacs-auctex"": ""optional"", ""emacs-bbdb"": ""optional"", ""emacs-vm"": ""optional"", ""geany"": ""optional"", ""jed"": ""optional"", ""joe"": ""optional"", ""leafpad"": ""optional"", ""nano"": ""optional"", ""nedit"": ""optional"", ""poedit"": ""optional"", ""vim-X11"": ""optional"", ""vim-enhanced"": ""optional"", ""xmlcopyeditor"": ""optional"", ""zile"": ""optional""}",false,true
"Educational Software,教育软件","Educational software for learning,学习用教育软件","{""blinken"": ""optional"", ""cantor"": ""optional"", ""corrida"": ""optional"", ""drgeo"": ""optional"", ""drgeo-doc"": ""optional"", ""fantasdic"": ""optional"", ""genchemlab"": ""optional"", ""glglobe"": ""optional"", ""gtypist"": ""optional"", ""kalgebra"": ""optional"", ""kalzium"": ""optional"", ""kanagram"": ""optional"", ""kbruch"": ""optional"", ""kgeography"": ""optional"", ""khangman"": ""optional"", ""kig"": ""optional"", ""kiten"": ""optional"", ""klettres"": ""optional"", ""kmplot"": ""optional"", ""kstars"": ""optional"", ""ktouch"": ""optional"", ""kturtle"": ""optional"", ""kwordquiz"": ""optional"", ""marble"": ""optional"", ""moodle"": ""optional"", ""parley"": ""optional"", ""rocs"": ""optional"", ""skychart"": ""optional"", ""stellarium"": ""optional"", ""step"": ""optional"", ""tuxtype2"": ""optional"", ""vmpk"": ""optional""}",false,true
"Electronic Lab,电子实验室","Design and simulation tools for hardware engineers,面向硬件工程师的设计和模拟工具","{""CUnit"": ""default"", ""LabPlot"": ""default"", ""acpica-tools"": ""default"", ""alliance"": ""default"", ""avr-binutils"": ""default"", ""avr-gcc"": ""default"", ""avr-gcc-c++"": ""default"", ""avra"": ""default"", ""avrdude"": ""default"", ""cgnslib"": ""default"", ""dia-CMOS"": ""default"", ""dia-Digital"": ""default"", ""dia-electric2"": ""default"", ""dia-electronic"": ""default"", ""flterm"": ""default"", ""freeDiameter"": ""default"", ""fritzing"": ""default"", ""gerbv"": ""default"", ""ghdl"": ""default"", ""gnucap"": ""default"", ""gnuradio"": ""default"", ""gnusim8085"": ""default"", ""gpsim"": ""default"", ""gputils"": ""default"", ""gr-osmosdr"": ""default"", ""gsim85"": ""default"", ""gtkterm"": ""default"", ""gtkwave"": ""default"", ""hiredis"": ""default"", ""icestorm"": ""default"", ""irsim"": ""default"", ""iverilog"": ""default"", ""kicad"": ""default"", ""ktechlab"": ""default"", ""linsmith"": ""default"", ""magic"": ""default"", ""magic-doc"": ""default"", ""mot-adms"": ""default"", ""netgen"": ""default"", ""nextpnr"": ""default"", ""ngspice"": ""default"", ""openocd"": ""default"", ""pcb"": ""default"", ""perl-Hardware-Verilog-Parser"": ""default"", ""perl-Hardware-Vhdl-Lexer"": ""default"", ""perl-Hardware-Vhdl-Parser"": ""default"", ""perl-ModelSim-List"": ""default"", ""perl-Perlilog"": ""default"", ""perl-Verilog-Perl"": ""default"", ""perl-Verilog-Readmem"": ""default"", ""picocom"": ""default"", ""pulseview"": ""default"", ""python3-migen"": ""default"", ""python3-myhdl"": ""default"", ""qucs"": ""default"", ""rtl-sdr"": ""default"", ""sdcc"": ""default"", ""sigrok-cli"": ""default"", ""sigrok-firmware-fx2lafw"": ""default"", ""smartsim"": ""default"", ""srecord"": ""default"", ""tclspice"": ""default"", ""trellis"": ""default"", ""uisp"": ""default"", ""verilator"": ""default"", ""vhd2vl"": ""default"", ""vrq"": ""default"", ""xcircuit"": ""default"", ""xorg-x11-fonts-100dpi"": ""default"", ""xorg-x11-fonts-ISO8859-1-100dpi"": ""default"", ""xorg-x11-fonts-ISO8859-9-100dpi"": ""default"", ""xorg-x11-fonts-Type1"": ""default"", ""yosys"": ""default"", ""kdesvn"": ""optional"", ""minicom"": ""optional""}",false,true
"Engineering and Scientific,工程和科学","This group includes packages for performing mathematical and scientific computations and plotting, as well as unit conversion.,这组包括执行数学与科学计算、绘图和单位换算的软件包。","{""R"": ""mandatory"", ""gnuplot"": ""mandatory"", ""gsl"": ""mandatory"", ""gsl-devel"": ""mandatory"", ""maxima"": ""mandatory"", ""octave"": ""mandatory"", ""python3-matplotlib"": ""mandatory"", ""python3-scipy"": ""mandatory"", ""texmaker"": ""mandatory"", ""transfig"": ""mandatory"", ""units"": ""mandatory"", ""wxMaxima"": ""mandatory"", ""xfig"": ""mandatory"", ""4ti2"": ""optional"", ""E"": ""optional"", ""EMBOSS"": ""optional"", ""GMT"": ""optional"", ""GMT-doc"": ""optional"", ""Macaulay2"": ""optional"", ""SIBsim4"": ""optional"", ""TOPCOM"": ""optional"", ""TeXmacs"": ""optional"", ""alt-ergo"": ""optional"", ""alt-ergo-gui"": ""optional"", ""atlas"": ""optional"", ""azove"": ""optional"", ""blas"": ""optional"", ""bliss"": ""optional"", ""bowtie"": ""optional"", ""brial"": ""optional"", ""bwa"": ""optional"", ""cantor"": ""optional"", ""cddlib"": ""optional"", ""chemtool"": ""optional"", ""coq"": ""optional"", ""coq-coqide"": ""optional"", ""cryptominisat"": ""optional"", ""csdp"": ""optional"", ""csdp-tools"": ""optional"", ""cvc5"": ""optional"", ""cvc5-devel"": ""optional"", ""dx"": ""optional"", ""eclib"": ""optional"", ""fastx_toolkit"": ""optional"", ""fflas-ffpack-devel"": ""optional"", ""fityk"": ""optional"", ""flint"": ""optional"", ""flocq"": ""optional"", ""frama-c"": ""optional"", ""freefem++"": ""optional"", ""gabedit"": ""optional"", ""galculator"": ""optional"", ""gap"": ""optional"", ""gappa"": ""optional"", ""gappalib-coq"": ""optional"", ""gdl"": ""optional"", ""genius"": ""optional"", ""geomview"": ""optional"", ""gfan"": ""optional"", ""ginac"": ""optional"", ""glimmer"": ""optional"", ""gnome-chemistry-utils"": ""optional"", ""gpredict"": ""optional"", ""grace"": ""optional"", ""gromacs"": ""optional"", ""gromacs-openmpi"": ""optional"", ""gshhg-gmt-nc4-full"": ""optional"", ""gshhg-gmt-nc4-high"": ""optional"", ""gts"": ""optional"", ""hdf"": ""optional"", ""hdf5"": ""optional"", ""hmmer"": ""optional"", ""kst"": ""optional"", ""lagan"": ""optional"", ""lapack"": ""optional"", ""latte-integrale"": ""optional"", ""libmatheval"": ""optional"", ""libtcd"": ""optional"", ""linbox"": ""optional"", ""malaga"": ""optional"", ""maxima-gui"": ""optional"", ""minisat2"": ""optional"", ""molsketch"": ""optional"", ""mpfi"": ""optional"", ""ncl"": ""optional"", ""nco"": ""optional"", ""ncview"": ""optional"", ""netcdf"": ""optional"", ""normaliz"": ""optional"", ""openbabel"": ""optional"", ""opencv"": ""optional"", ""paraview"": ""optional"", ""picosat"": ""optional"", ""picosat-devel"": ""optional"", ""plotutils"": ""optional"", ""polymake"": ""optional"", ""python3-biopython"": ""optional"", ""python3-cvxopt"": ""optional"", ""python3-networkx"": ""optional"", ""python3-sympy"": ""optional"", ""qalculate-gtk"": ""optional"", ""qalculate-qt"": ""optional"", ""qepcad-B"": ""optional"", ""root"": ""optional"", ""routino"": ""optional"", ""rrdtool"": ""optional"", ""scidavis"": ""optional"", ""seaview"": ""optional"", ""sextractor"": ""optional"", ""stp"": ""optional"", ""symmetrica"": ""optional"", ""tcd-utils"": ""optional"", ""tgif"": ""optional"", ""tideEditor"": ""optional"", ""veusz"": ""optional"", ""vinci"": ""optional"", ""wgrib"": ""optional"", ""wgrib2"": ""optional"", ""why3"": ""optional"", ""wvs-data"": ""optional"", ""xdrawchem"": ""optional"", ""xgap"": ""optional"", ""xtide"": ""optional"", ""zenon"": ""optional""}",false,true
"Enlightenment,Enlightenment","Enlightenment is a lean, fast, modular and very extensible windowed desktop environment.,Enlightenment 是一个精良，快速，模块化和可扩展的桌面环境。","{""efl"": ""mandatory"", ""enlightenment"": ""mandatory"", ""terminology"": ""mandatory""}",false,false
"Fedora Packager,Fedora Packager","Tools and utilities needed by a Fedora Packager,Fedora 打包者所需的工具和实用程序","{""bodhi-client"": ""mandatory"", ""curl"": ""mandatory"", ""fedora-easy-karma"": ""mandatory"", ""fedora-packager"": ""mandatory"", ""git"": ""mandatory"", ""koji"": ""mandatory"", ""make"": ""mandatory"", ""mock"": ""mandatory"", ""redhat-rpm-config"": ""mandatory"", ""rpm-build"": ""mandatory"", ""rpmdevtools"": ""mandatory"", ""cpanspec"": ""optional"", ""cvs"": ""optional""}",false,false
"Firefox Web Browser,Firefox 浏览器","The Firefox web browser,Firefox 浏览器","{""fedora-bookmarks"": ""mandatory"", ""firefox"": ""mandatory"", ""libglvnd-gles"": ""default""}",false,false
"Font design and packaging,字体设计及打包","This group is a collection of tools used in the design, modification, manipulation, and packaging of fonts.,这组是用于设计、修改、处理和打包字体的工具合集。","{""fontforge"": ""mandatory"", ""fontaine"": ""default"", ""fonttools"": ""default"", ""ghostscript"": ""default"", ""gimp"": ""default"", ""gimp-data-extras"": ""default"", ""gimp-help"": ""default"", ""gucharmap"": ""default"", ""inkscape"": ""default"", ""perl-Font-TTF"": ""default"", ""poppler-utils"": ""default"", ""texlive-lcdftypetools"": ""default"", ""cube2font"": ""optional"", ""cvs"": ""optional"", ""darcs"": ""optional"", ""freetype-demos"": ""optional"", ""gbdfed"": ""optional"", ""ghostscript-doc"": ""optional"", ""ghostscript-gtk"": ""optional"", ""git"": ""optional"", ""gitg"": ""optional"", ""meld"": ""optional"", ""python3-fontMath"": ""optional"", ""qgit"": ""optional"", ""quilt"": ""optional"", ""scribus"": ""optional"", ""subversion"": ""optional"", ""woff"": ""optional"", ""xmbdfed"": ""optional""}",false,false
"Fonts,字体","Fonts packages for rendering text on the desktop.,用于渲染桌面上文字的字体软件包。","{""yanone-kaffeesatz-fonts"": ""optional""}",false,false
"FreeIPA Server,FreeIPA 服务器","Provides central directory services for identity, policy management and auditing.,为身份验证，策略管理和审计提供集中目录服务。","{""freeipa-server"": ""mandatory"", ""bind-dyndb-ldap"": ""default"", ""freeipa-server-dns"": ""default"", ""freeipa-server-trust-ad"": ""default"", ""opendnssec"": ""default""}",false,true
"FTP Server,FTP 服务器","These tools allow you to run an FTP server on the system.,这些工具允许您在系统上运行 FTP 服务器。","{""vsftpd"": ""mandatory"", ""proftpd"": ""optional"", ""pure-ftpd"": ""optional""}",false,false
